MALA_PALABRA,VARIACION
puto,0
imbecil,0
idiota,0
hijo de perra,0
hija de perra,0
perra,0
prieto,0
nigga,0
puta,0
maricon,0
joto,0
mariposon,0
estupido,0
estupida,0
chinga tu madre,0
pito,0
pucha,0
vaginon,0
vaginota,0
jodete,0
perrilla,0
zorra,0
chingaderas,0
pussy,0
bitch,0
tarugo,0
putita ,0
baboso,0
babosa,0
putito,0
muerto de hambre,0
zoquete,0
zopenco,0
mentecato,0
papanatas,0
tarado,0
zopenca,0
tarada,0
descerebrado,0
descerebrada,0
pvt0,1
put0,1
put0,1
put0000,1
putoooo,1
ldl0ta,1
idl0ta,1
idi0ta,1
idiotaaaa,1
lid0taaaaaaaa,1
j0t0,1
jot00000,1
j0toooooooo,1
e5tvpld0,1
estvpidoooooo,1
pit000,1
plt00000,1
plto,1
maric0n,1
maricoooon,1
maric0000n,1
e5tvplda,1
estvpidaaaa,1
babos000000,1
babo0s0,1
bab0saaaaa,1
babo0sa,1
pvtlta,1
putltaaaa,1
pvtitaaaaaaa,1
priet0000,1
prlet0,1
prleto,1
limbecll,1
imbecll,1
pvtit000,1
putit0,1
pvtitooooo,1
pititooooo,1
z0rrrrrra,1
zorraaaaaa,1
zooooorraaaaa,1
zorrrraaaaa,1
pu$$y,1
e$tupido,1
e$tvpi0000,1
pendejo,0
mierda,0
asqueroso,0
asquerosa,0
miserable,0
chupala,0
chupamela,0
retrasado,0
subnormal,0
riata,0
gilipollas,0
polla,0
pinche,0
verga,0
vergazo,0
mamo,0
mamada,0
ojete,0
ano,0
descerebrado,0
caca,0
pendeja,0
pedofilo,0
pija,0
cum,0
cumeado,0
cum shot,0
tetas,0
shit,0
cagar,0
cagada,0
surrado,0
guarra,0
guarro,0
mames,0
nazi,0
muerete,0
suicidate,0
suicidio,0
matate,0
culo,0
mamon,0
cabron,0
putiza,0
putazo,0
zurrado,0
zurrada,0
zurrad000,1
zurrad0,1
guarrooo,1
guar00000,1
guaraaaaa,1
cul0000,1
cvl0,1
cul0,1
cula,0
cvla,1
cvlaaaa,1
culaaaaaaa,1
p0llaaaa,1
pollaaaaaaaa,1
vergaso,0
vergazooooo,1
vergaz0000,1
svicidate,1
sulcldate,1
cabrona,0
cabr000n,1
cabroooooon,1
mamona,0
mam000na,1
topi,0
t0pl,1
mam0n,1
cabr000naaaa,1
cabr0naaa,1
prieta,0
cvm,1
cuuuum,1
cuuummmm,1
suicid00,1
suiicidoo,1
sulcld0,1
suicid0,1
cagad0,1
cagadooo,1
cagad00000,1
t3ta,1
t33taaa,1
t3taaaaa,1
chvpala,1
chvpa1a,1
chuuupalaaa,1
chupalaaaaaa,1
berga,0
